id,first_name,last_name,monthly_income,happiness_monthly_income,monthly_saved_money,debt_amount,country,gender,birth_year,weekly_freetime_duration_minute,sleep_duration_hours_daily,child_count,pet_count,reading_book_count_yearly,yearly_vacation_count,daily_socilmedia_duration_minutes,happiness_score,work_situation,safety_feels_at_home,relationship_situation,doing_exercise,state_of_religiosity,bad_habits,family_relation_situation,trust_country_law,education_status,is_parents_alive
4579,Dorey,Tuvey,NULL,0,10633,15037,Central African Republic,Male,1992,81,7,0,0,4,NULL,30,1,NULL,Hayir,Evli,Hayir,Dindar Degil,Var,NULL,Hayir,Lise,Anne Baba Yasamiyor
4587,Elizabeth,Etchells,29571,1,9840,6041,Czech Republic,Female,1992,155,6,4,3,NULL,11,15,10,Tam Zamanli,Evet,Bekar,Hayir,Dindar,Yok,Normal,Evet,Lisans,Anne Baba Yasamiyor
4595,Brandtr,Harmour,15237,1,6400,4812,Brazil,Male,1988,135,8,2,3,63,8,15,8,Yari Zamanli,Evet,Evli,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
4611,Kendall,Nicklin,15627,1,44,28038,China,Male,1992,115,6,4,3,55,NULL,15,7,NULL,Hayir,Bekar,Hayir,Dindar Degil,Yok,NULL,Evet,Yuksek Lisans,Anne Baba Yasamiyor
4619,Wendye,Quixley,22389,0,2241,2635,Indonesia,Female,1992,85,6,4,2,55,4,120,6,Uzaktan,Hayir,Evli,Hayir,Dindar Degil,Yok,Cok Iyi,Evet,Lise,Anne Baba Yasamiyor
4627,Emlynn,Leeburne,15322,1,1660,26204,Norway,Female,1992,188,7,2,3,75,10,15,9,Yari Zamanli,Evet,Bekar,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
4691,Kelbee,Renals,15215,1,717,772,Mexico,Male,1992,155,9,4,3,143,11,15,10,Tam Zamanli,Evet,Evli,Hayir,Dindar,Yok,Normal,Evet,Lisans,Baba Yasiyor
4699,Lucretia,Copas,26469,0,11979,23461,Japan,Female,1992,41,9,4,0,4,1,150,1,Uzaktan,Hayir,Bekar,Hayir,Dindar Degil,Var,Normal,Hayir,Lise,Anne Baba Yasamiyor
4715,Ernst,Leavey,24669,1,NULL,18219,Norway,Male,1983,85,4,2,1,55,4,150,6,Uzaktan,Hayir,Bekar,Hayir,Dindar Degil,Yok,Normal,Hayir,Lisans,Anne Baba Yasamiyor
4731,Renee,Ashtonhurst,7984,0,NULL,18863,China,Female,1991,151,4,1,0,4,2,120,5,Uzaktan,Hayir,Evli,Hayir,Dindar Degil,Yok,Normal,Hayir,Lise,Anne Baba Yasamiyor
